"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","forge","19.45","19.65","18.07"
"startup.js","bun","39.24","38.93","38.84"
"startup.js","node","43.89","43.62","42.99"
"json-bench.js","forge","369.03","368.79","366.19"
"json-bench.js","bun","249.94","249.93","248.13"
"json-bench.js","node","547.3","546.43","537.3"
"loop-bench.js","forge","82.09","81.98","81.18"
"loop-bench.js","bun","71.86","71.56","71.31"
"loop-bench.js","node","91.23","90.95","90.43"
"timer-bench.js","forge","24.39","24.13","23.17"
"timer-bench.js","bun","49.69","49.44","49.25"
"timer-bench.js","node","59.54","59.55","58.05"
"microtask-bench.js","forge","56.38","55.93","54.97"
"microtask-bench.js","bun","54.35","54.71","53.16"
"microtask-bench.js","node","113.37","108.69","107.49"
"promise-chain-bench.js","forge","88.85","88.84","88.07"
"promise-chain-bench.js","bun","45.5","44.23","43.65"
"promise-chain-bench.js","node","49.93","48.02","47.62"
"fs-bench.js","forge","816.03","810.6","787.27"
"fs-bench.js","bun","983.89","990.25","964.43"
"fs-bench.js","node","918.45","918.78","912.88"
